code,name,name_slugs,name_trans,province
A285,Andria,andria,Andria,BT
A286,Andriano,"andrian, andriano",Andriano,TN
A286,Andriano,"andrian, andriano",Andriano,TN
A286,Andriano,"andrian, andriano",Andriano,BZ
A286,Andriano,"andrian, andriano",Andriano,BZ
A287,Anela,anela,Anela,SS
A288,Anfo,anfo,Anfo,BS
A289,Anfurro,anfurro,Anfurro,BS
A290,Angera,angera,Angera,CO
A290,Angera,angera,Angera,VA
A290,Angera,angera,Angera,VA
A290,Angera,angera,Angera,VA
A290,Angera,angera,Angera,VA
A291,Anghiari,anghiari,Anghiari,AR
A292,Angiari,angiari,Angiari,VR
A293,Angolo,angolo,Angolo,BS
A293,Angolo,angolo,Angolo,BS
A293,Angolo,angolo,Angolo,BS
A293,Angolo Terme,angolo-terme,Angolo Terme,BS
A294,Angri,angri,Angri,SA
A294,Angri,angri,Angri,SA
A294,Angri,angri,Angri,SA
A294,Angri,angri,Angri,SA
A295,Angrogna,angrogna,Angrogna,TO
A297,Anguillara Sabazia,anguillara-sabazia,Anguillara Sabazia,RM
A297,Anguillara Sabazia,anguillara-sabazia,Anguillara Sabazia,RM
A296,Anguillara Veneta,anguillara-veneta,Anguillara Veneta,PD
A298,Anhovo,anhovo,Anhovo,GO
A298,Anhovo,anhovo,Anhovo,UD
A298,Anicova Corada,anicova-corada,Anicova Corada,UD
A298,Anicova Corada,anicova-corada,Anicova Corada,GO
A299,Annicco,annicco,Annicco,CR
A299,Annicco,annicco,Annicco,CR
A301,Annone Di Brianza,annone-di-brianza,Annone Di Brianza,CO
A301,Annone Di Brianza,annone-di-brianza,Annone Di Brianza,LC
A302,Annone Veneto,annone-veneto,Annone Veneto,VE
A303,Anoia,anoia,Anoia,RC
A304,Antegnate,antegnate,Antegnate,BG
